Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
0	0	0	3	Adrenal Gland	1	0	1
2.08808736920236	5	4.03652771809196	3	Appendix	0.00816418111904296	2.64520345928425	0.188043639513799
0.258242858766004	2	1.08652400231348	4	Bone Marrow	0.551768802238084	0.595111709159828	1
0	0	0	4	Breast	1	0	1
1.62579227668181	17	1.68262381454162	3	Cerebral Cortex	0.0236705158900493	2.26243539942206	0.276156018717242
0.535929484242121	2	1.86461538461538	2	Cervix, uterine	0.291118976530527	1.05567006838893	1
0	0	0	13	Colon	1	0	1
0.411787571829267	3	1.34217670874018	2	Duodenum	0.387447112112626	0.864256297119028	1
0.706143351627268	2	2.44928292046936	5	Endometrium	0.196723683832962	1.29094230659966	0.983618419164812
0.0818353734424836	1	0.573443223443223	3	Esophagus	0.828256068472383	0.216938762861652	1
0	0	0	5	Fallopian Tube	1	0	1
0.193056536503225	1	0.983045525902669	3	Gallbladder	0.641126109285256	0.466124888515961	1
1.27856171244524	4	2.84744221295945	4	Heart Muscle	0.0526548388022418	1.93774092078956	0.368583871615693
0.164341078265587	2	0.850045248868778	9	Kidney	0.684950081580173	0.405717637242434	1
0.100680319342798	2	0.68487057965731	10	Liver	0.793084899056799	0.262306827018405	1
1.37931345865986	4	3.0746317512275	9	Lung	0.0417528900019975	2.0359747581974	0.365337787517479
0.292717339436391	2	1.17485928705441	5	Lymph Node	0.50966247695584	0.659363340791133	1
0.216843629523271	1	1.07841561423651	3	Ovary	0.606954828177365	0.514425080140917	1
0	0	0	2	Pancreas	1	0	1
0.624154542504108	4	1.61011356331691	8	Placenta	0.237599464497526	1.18100820331001	1
0.429528238949653	2	1.54553681612505	9	Prostate	0.371939035938273	0.892847143733443	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0.462845568035509	2	1.64213286713287	3	Seminal Vesicle	0.344472400871953	0.945365320295363	1
0.0499280741032928	1	0.455860228099976	5	Skeletal Muscle	0.891398555324824	0.136534749881384	1
0.0170792619351955	1	0.312111646452899	3	Skin	0.961436793088768	0.0483506446984328	1
0.372020201158349	3	1.26391567616057	4	Small Intestine	0.424599813275024	0.798466521987062	1
0.33556776806939	1	1.62368193604149	3	Smooth Muscle	0.461776929794494	0.735924034163666	1
1.19556420694145	5	2.33831217326363	5	Spleen	0.0637434834461746	1.85396978085683	0.371836986769352
0	0	0	4	Stomach	1	0	1
0.125990356542665	13	0.866912782648823	10	Testis	0.748186113710406	0.321032035811205	1
1.96877940048265	6	3.24736387208297	5	Thyroid Gland	0.0107453508293599	2.55087288727006	0.188043639513799
0.153068880257046	1	0.830503978779841	5	Tonsil	0.702960819590951	0.381326732820713	1
0	0	0	2	Urinary Bladder	1	0	1
