score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90480749,GCST90480750,GCST90058037,GCST90449002,GCST90319327,GCST90239706,GCST90020227,GCST90449004,GCST009600,GCST012090,GCST90328131,GCST90449009,GCST90448999,GCST90449008,GCST012088,GCST010416,GCST007342,GCST90449000,GCST006475,GCST012355,GCST90449007,GCST90449006,GCST90014428,GCST007553,GCST006041,GCST90281043,GCST005839,GCST005902,GCST90565870,GCST90310232,GCST90455648,GCST90271321,GCST90446218,GCST90014436,GCST010011,GCST90624689,GCST90134529,GCST90020093,GCST90014431,GCST90449001,FINNGEN_R12_ANTIDEPRESSANTS,GCST90014437,GCST90014433,FINNGEN_R12_F5_DEPRESSION_DYSTHYMIA,GCST90473267,GCST90565869,GCST90013878,GCST006477,GCST90468123,GCST90013928,GCST90014432,GCST90095484,GCST90449005,GCST90042830,GCST90085695,GCST90271325,FINNGEN_R12_F5_DEPRESSION_RECURRENT,FINNGEN_R12_F5_DEPRESSIO,GCST90271337,GCST90624673,GCST90277450,GCST90096938,GCST90096932,GCST90096941,GCST90096940,GCST90271329,GCST90624669,GCST004024,GCST007257,GCST90093273,GCST90093264,GCST010859,GCST007255,GCST001877,GCST90281044,GCST90624218,GCST90093171,GCST90093177,GCST90093168,GCST90624680,GCST005904,GCST90479738,GCST90624691,GCST90085697,GCST90624693,GCST90296443,GCST90435859,GCST90102282,GCST90624686,GCST90102448,GCST90624685,GCST90093276,GCST90624696,GCST90093267,GCST90042829,GCST008921,GCST90014430,GCST90624688,GCST005547,GCST90096937,GCST90102446,GCST90479687,GCST003558,GCST90014426,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.736165533557729,ENSG00000149295,DRD2,protein_coding,0.802952248896977,NA,NA,GCST90480749/GCST90480750/GCST90058037/GCST90449002/GCST90319327/GCST90239706/GCST90020227/GCST90449004/GCST009600/GCST012090/GCST90328131/GCST90449009/GCST90448999/GCST90449008/GCST012088/GCST010416/GCST007342/GCST90449000/GCST006475/GCST012355/GCST90449007/GCST90449006,0.837524354457855/0.830499172210693/0.819391429424286/0.779564023017883/0.779564023017883/0.779564023017883/0.77062714099884/0.765905261039734/0.763465225696564/0.751666247844696/0.751666247844696/0.750194489955902/0.74487978219986/0.74487978219986/0.738063037395477/0.738063037395477/0.737053990364075/0.731323480606079/0.7250856757164/0.721521556377411/0.706880629062653/0.706880629062653,0.8375244,0.8304992,0.8193914,0.779564,0.779564,0.779564,0.7706271,0.7659053,0.7634652,0.7516662,0.7516662,0.7501945,0.7448798,0.7448798,0.738063,0.738063,0.737054,0.7313235,0.7250857,0.7215216,0.7068806,0.7068806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,DRD2,1813,GWAS,1,297,15
0.546448518477935,ENSG00000172260,NEGR1,protein_coding,0.86129151516639,NA,NA,GCST90014428/GCST007553/GCST012088/GCST007342/GCST012090/GCST006041/GCST90449004/GCST90281043/GCST90328131/GCST005839/GCST90239706/GCST005902/GCST90565870/GCST90449007/GCST90310232/GCST90058037/GCST90455648/GCST90271321/GCST90446218/GCST010416/GCST009600/GCST90014436/GCST010011/GCST90624689/GCST90134529/GCST90319327/GCST90020227,0.902622044086456/0.891096889972687/0.836587011814117/0.806529998779297/0.777972400188446/0.775547444820404/0.775547444820404/0.768126130104065/0.768126130104065/0.768126130104065/0.768126130104065/0.702665388584137/0.684939026832581/0.679405629634857/0.66227513551712/0.66227513551712/0.647167205810547/0.647167205810547/0.647167205810547/0.64466005563736/0.64466005563736/0.628997147083282/0.614788234233856/0.614788234233856/0.536391079425812/0.512212097644806/0.512212097644806,NA,NA,0.6622751,NA,0.5122121,0.7681261,0.5122121,0.7755474,0.6446601,0.7779724,0.7681261,NA,NA,NA,0.836587,0.6446601,0.80653,NA,NA,NA,0.6794056,NA,0.902622,0.8910969,0.7755474,0.7681261,0.7681261,0.7026654,0.684939,0.6622751,0.6471672,0.6471672,0.6471672,0.6289971,0.6147882,0.6147882,0.5363911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NEGR1,257194,GWAS,1,83,7
0.541567732606048,ENSG00000196628,TCF4,protein_coding,0.872525035350155,NA,NA,GCST006475/GCST90449009/GCST90449006/GCST005839/GCST90020093/GCST90328131/GCST90134529/GCST009600/GCST010416/GCST90058037/GCST012088/GCST012090/GCST90014431/GCST007342/GCST90319327/GCST90239706/GCST90020227/GCST90624689/GCST90449008/GCST90449000/GCST90449001/GCST90449002/GCST90448999/GCST90449007/GCST90449004,0.925333499908447/0.851428627967834/0.842513084411621/0.840815424919128/0.840349197387695/0.838076114654541/0.838076114654541/0.838076114654541/0.838076114654541/0.83405065536499/0.83405065536499/0.829669058322906/0.82675576210022/0.823413729667664/0.823413729667664/0.823413729667664/0.814936637878418/0.553885877132416/0.55280202627182/0.55280202627182/0.539963126182556/0.539963126182556/0.539963126182556/0.521923661231995/0.521923661231995,NA,NA,0.8340507,0.5399631,0.8234137,0.8234137,0.8149366,0.5219237,0.8380761,0.8296691,0.8380761,0.8514286,0.5399631,0.552802,0.8340507,0.8380761,0.8234137,0.552802,0.9253335,NA,0.5219237,0.8425131,NA,NA,NA,NA,0.8408154,NA,NA,NA,NA,NA,NA,NA,NA,0.5538859,0.8380761,0.8403492,0.8267558,0.5399631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,TCF4,6925,GWAS,1,162,4
0.53341085527921,ENSG00000106460,TMEM106B,protein_coding,0.860478684664788,NA,NA,GCST90449001/GCST90448999/FINNGEN_R12_ANTIDEPRESSANTS/GCST90014437/GCST90449000/GCST90239706/GCST90014433/GCST90020227/FINNGEN_R12_F5_DEPRESSION_DYSTHYMIA/GCST90473267/GCST90449006/GCST90449007/GCST90565869/GCST012355/GCST90013878/GCST90328131/GCST010416/GCST90449004/GCST010011/GCST007342/GCST90449008/GCST90449002/GCST006477/GCST006475/GCST90468123/GCST90058037/GCST90013928/GCST90281043/GCST90014432/GCST012090/GCST005902/GCST90014436/GCST90095484/GCST90449009/GCST90449005/GCST90319327/GCST90042830,0.885298430919647/0.885298430919647/0.854533970355988/0.829274892807007/0.828391849994659/0.828391849994659/0.827684760093689/0.827684760093689/0.827684760093689/0.827684760093689/0.827684760093689/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.826756596565247/0.818929314613342/0.815458059310913/0.815458059310913/0.815458059310913/0.815458059310913/0.815458059310913/0.815458059310913/0.815357804298401/0.813040435314178,NA,NA,0.8267566,0.8267566,0.8153578,0.8283918,0.8276848,0.8267566,NA,0.8154581,0.8267566,0.8154581,0.8852984,0.8267566,NA,0.8267566,0.8267566,0.8283918,0.8267566,0.8267566,0.8267566,0.8276848,NA,NA,NA,0.8267566,NA,0.8154581,NA,NA,NA,NA,NA,0.8154581,0.8267566,NA,NA,NA,NA,0.8852984,0.854534,0.8292749,0.8276848,0.8276848,0.8276848,0.8267566,0.8267566,0.8267566,0.8267566,0.8267566,0.8189293,0.8154581,0.8154581,0.8130404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,TMEM106B,54664,GWAS,1,34,1
0.533296788300559,ENSG00000165379,LRFN5,protein_coding,0.840515623903513,NA,NA,GCST90480749/GCST90328131/GCST010416/GCST90239706/GCST007342/GCST90480750/GCST90319327/GCST90020227/GCST012090/GCST90058037/GCST90085695/GCST005839/GCST90271325,0.880204379558563/0.880204379558563/0.880204379558563/0.880204379558563/0.875688791275024/0.865698337554932/0.865698337554932/0.864199817180634/0.864199817180634/0.864199817180634/0.860160946846008/0.831972241401672/0.804321467876434,0.8802044,0.8656983,0.8641998,NA,0.8656983,0.8802044,0.8641998,NA,NA,0.8641998,0.8802044,NA,NA,NA,NA,0.8802044,0.8756888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8319722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8601609,0.8043215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,LRFN5,145581,GWAS,1,46,6
0.522589659849373,ENSG00000101489,CELF4,protein_coding,0.855409844168004,NA,NA,GCST010011/GCST90449008/GCST90449002/GCST90020227/GCST90239706/GCST90328131/GCST90319327/GCST007342/GCST90134529/GCST012090/GCST90058037/GCST006477/GCST90449001/GCST006475/GCST012355,0.891329169273376/0.891329169273376/0.888373792171478/0.887179255485535/0.887179255485535/0.887179255485535/0.887179255485535/0.887179255485535/0.887179255485535/0.884464800357819/0.884464800357819/0.884464800357819/0.884158909320831/0.877080202102661/0.83500474691391,NA,NA,0.8844648,0.8883738,0.8871793,0.8871793,0.8871793,NA,NA,0.8844648,0.8871793,NA,NA,0.8913292,NA,NA,0.8871793,NA,0.8770802,0.8350047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8913292,NA,0.8871793,NA,NA,0.8841589,NA,NA,NA,NA,NA,NA,NA,0.8844648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,CELF4,56853,GWAS,1,24,2
0.519522408275277,ENSG00000149294,NCAM1,protein_coding,0.841371709653084,NA,NA,FINNGEN_R12_ANTIDEPRESSANTS/FINNGEN_R12_F5_DEPRESSION_RECURRENT/FINNGEN_R12_F5_DEPRESSIO/GCST006475/GCST90134529/GCST90271325/GCST90319327/GCST012090/GCST90014431/FINNGEN_R12_F5_DEPRESSION_DYSTHYMIA/GCST90271337,0.917860627174377/0.847913801670074/0.835123479366302/0.834774553775787/0.824125111103058/0.81269383430481/0.81269383430481/0.81269383430481/0.803277611732483/0.784319579601288/0.754444420337677,NA,NA,NA,NA,0.8126938,NA,NA,NA,NA,0.8126938,NA,NA,NA,NA,NA,NA,NA,NA,0.8347746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8241251,NA,0.8032776,NA,0.9178606,NA,NA,0.7843196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8126938,0.8479138,0.8351235,0.7544444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NCAM1,4684,GWAS,1,500,13
0.515463549823363,ENSG00000077063,CTTNBP2,protein_coding,0.84577064092161,NA,NA,GCST90449002/GCST007342/GCST90239706/GCST90449009/GCST90020227/GCST90319327/GCST90624673/GCST005902/GCST90449008/GCST90328131/GCST012090,0.911020040512085/0.899789035320282/0.843332886695862/0.839286327362061/0.839098274707794/0.831615269184113/0.80591094493866/0.647290825843811/0.592829525470734/0.576373696327209/0.576373696327209,NA,NA,NA,0.91102,0.8316153,0.8433329,0.8390983,NA,NA,0.5763737,0.5763737,0.8392863,NA,0.5928295,NA,NA,0.899789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6472908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8059109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,CTTNBP2,83992,GWAS,1,64,2
0.507888208246675,ENSG00000102837,OLFM4,protein_coding,0.805931987359278,NA,NA,GCST010416/GCST005839/GCST006477/GCST006041/GCST90014428/GCST90271325,0.865833163261414/0.865833163261414/0.828353226184845/0.824282884597778/0.719187200069427/0.685183584690094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8658332,NA,NA,NA,NA,NA,NA,0.7191872,NA,0.8242829,NA,0.8658332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8283532,NA,NA,NA,NA,NA,NA,NA,0.6851836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,OLFM4,10562,GWAS,1,77,3
0.507359742087179,ENSG00000168959,GRM5,protein_coding,0.774619769884802,NA,NA,GCST90328131/GCST90449007/GCST90449008/GCST007342/GCST90624673/GCST010011/GCST90449004/GCST90449009/GCST90319327/GCST90020227/GCST90058037/GCST90281043/GCST005902/GCST90014436/GCST010416/GCST90239706/GCST012090/GCST012355/GCST90449002/GCST90449001/GCST90449000/GCST90277450,0.798691034317017/0.795696556568146/0.795696556568146/0.78916871547699/0.785724759101868/0.785724759101868/0.785724759101868/0.785724759101868/0.783457517623901/0.783457517623901/0.782120048999786/0.782104134559631/0.782104134559631/0.778158068656921/0.773125648498535/0.773058652877808/0.75584602355957/0.753129303455353/0.746755123138428/0.735263824462891/0.723367869853973/0.676994442939758,NA,NA,0.78212,0.7467551,0.7834575,0.7730587,0.7834575,0.7857248,NA,0.755846,0.798691,0.7857248,NA,0.7956966,NA,0.7731256,0.7891687,0.7233679,NA,0.7531293,0.7956966,NA,NA,NA,NA,0.7821041,NA,0.7821041,NA,NA,NA,NA,NA,0.7781581,0.7857248,NA,NA,NA,NA,0.7352638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7857248,0.6769944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,GRM5,2915,GWAS,1,230,8
