score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90131903,GCST90131901,GCST90274865,GCST90476386,GCST90475825,GCST90475824,GCST90479447,GCST90693193,GCST90693195,GCST90476385,GCST90480695,GCST90475257,GCST90479999,GCST90479998,GCST90134531,GCST90475823,GCST90479583,GCST90267362,GCST90267361,GCST90274866,GCST90693192,GCST90693190,GCST90267286,GCST90267287,GCST90475826,GCST006487,GCST90270121,GCST90270120,GCST004695,GCST90480000,GCST90131902,GCST004702,GCST004701,GCST010097,GCST90480005,GCST90473333,FINNGEN_R12_G6_SLEEPAPNO,FINNGEN_R12_SLEEP,FINNGEN_R12_G6_SLEEPAPNO_INCLAVO,GCST011922,GCST90475258,GCST90481156,GCST90018916,GCST90693194,GCST90204200,GCST90244078,GCST90293089,GCST005522,GCST90480696,GCST90026658,GCST90480022,GCST90026656,GCST90026657,GCST90480001,GCST90481060,GCST002260,GCST90479440,GCST90481052,GCST90258599,GCST90477493,GCST90479997,GCST90077582,GCST90132920,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.847472770989267,ENSG00000130816,DNMT1,protein_coding,NA,0.607930797611621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,DNMT1,1786,Rare,1,484,10
0.61340048512984,ENSG00000145864,GABRB2,protein_coding,0.600604486962351,NA,NA,GCST90131903/GCST90131901,0.794496297836304/0.773809909820557,0.7944963,0.7738099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,GABRB2,2561,GWAS,1,117,6
0.580507342795228,ENSG00000130203,APOE,protein_coding,0.910729349775215,NA,NA,GCST90131903/GCST90274865/GCST90131901/GCST90476386/GCST90475825/GCST90475824/GCST90479447/GCST90693193/GCST90693195/GCST90476385/GCST90480695,0.963660418987274/0.962487936019897/0.962487936019897/0.955343961715698/0.955343961715698/0.955343961715698/0.955343961715698/0.946868360042572/0.946868360042572/0.915051639080048/0.878840863704681,0.9636604,0.9624879,0.9624879,0.955344,0.955344,0.955344,0.955344,0.9468684,0.9468684,0.9150516,0.8788409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,APOE,348,GWAS,1,500,15
0.51262539057976,ENSG00000135272,MDFIC,protein_coding,0.843229842267759,NA,NA,GCST90475257/GCST90475825/GCST90475824/GCST90475257/GCST90479999/GCST90475825/GCST90475824/GCST90479998,0.91143399477005/0.89773428440094/0.89773428440094/0.89773428440094/0.887421846389771/0.788790702819824/0.780970454216003/0.774418830871582,NA,NA,NA,NA,0.7887907,0.7809705,NA,NA,NA,NA,NA,0.8977343,0.8874218,0.7744188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,MDFIC,29969,GWAS,1,9,0
0.510748481686058,ENSG00000138821,SLC39A8,protein_coding,0.836883285103271,NA,NA,GCST90475824/GCST90475825/GCST90693193/GCST90693195/GCST90134531/GCST90479998/GCST90479999/GCST90475257/GCST90475823/GCST90131903/GCST90274865/GCST90479583/GCST90131901,0.877107858657837/0.877107858657837/0.877107858657837/0.877107858657837/0.872386991977692/0.870579957962036/0.870579957962036/0.870579957962036/0.869500696659088/0.864516377449036/0.858318567276001/0.858318567276001/0.856344938278198,0.8645164,0.8563449,0.8583186,NA,0.8771079,0.8771079,NA,0.8771079,0.8771079,NA,NA,0.87058,0.87058,0.87058,0.872387,0.8695007,0.8583186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,SLC39A8,64116,GWAS,1,57,1
0.497764571146496,ENSG00000176697,BDNF,protein_coding,0.771549080022326,NA,NA,GCST90267362/GCST90267361/GCST90475823,0.866509020328522/0.862682044506073/0.81044214963913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8104421,NA,0.866509,0.862682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,BDNF,627,GWAS,1,500,21
0.495989745970949,ENSG00000198056,PRIM1,protein_coding,0.813585729591315,NA,NA,GCST90274865/GCST90274866/GCST90693193/GCST90693195/GCST90693192/GCST90475824/GCST90693190/GCST90475825/GCST90479998,0.866179227828979/0.866179227828979/0.862707793712616/0.862707793712616/0.862707793712616/0.862707793712616/0.862707793712616/0.862707793712616/0.85175895690918,NA,NA,0.8661792,NA,0.8627078,0.8627078,NA,0.8627078,0.8627078,NA,NA,NA,NA,0.851759,NA,NA,NA,NA,NA,0.8661792,0.8627078,0.8627078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,PRIM1,5557,GWAS,1,209,2
0.493401807807153,ENSG00000244405,ETV5,protein_coding,0.809784715920253,NA,NA,GCST90693193/GCST90274865/GCST90475825/GCST90479999/GCST90479998/GCST90475824/GCST90693195/GCST90475824,0.877874612808228/0.872743964195251/0.870491147041321/0.869730591773987/0.869730591773987/0.868745088577271/0.854259431362152/0.546525835990906,NA,NA,0.872744,NA,0.8704911,0.5465258,NA,0.8778746,0.8542594,NA,NA,NA,0.8697306,0.8697306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,ETV5,2119,GWAS,1,73,4
0.491119277436678,ENSG00000143995,MEIS1,protein_coding,0.788492704043895,NA,NA,GCST90267286/GCST90267287/GCST90475826/GCST006487/GCST90270121/GCST90270120/GCST004695/GCST90131903/GCST90480000/GCST90131902/GCST004702/GCST90131901/GCST004701/GCST010097/GCST90480005/GCST90480695/GCST90475823/GCST90476385/GCST90134531,0.828726947307587/0.792511761188507/0.792511761188507/0.783281624317169/0.783281624317169/0.783281624317169/0.783281624317169/0.780330717563629/0.77688992023468/0.773703873157501/0.752857863903046/0.741254270076752/0.739813804626465/0.739813804626465/0.729694962501526/0.729694962501526/0.729694962501526/0.729694962501526/0.713305294513702,0.7803307,0.7412543,NA,NA,NA,NA,NA,NA,NA,0.729695,0.729695,NA,NA,NA,0.7133053,0.729695,NA,NA,NA,NA,NA,NA,0.8287269,0.7925118,0.7925118,0.7832816,0.7832816,0.7832816,0.7832816,0.7768899,0.7737039,0.7528579,0.7398138,0.7398138,0.729695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,MEIS1,4211,GWAS,1,155,14
0.490659127150506,ENSG00000148737,TCF7L2,protein_coding,0.805129675284215,NA,NA,GCST90693193/GCST90693195/GCST90475824/GCST90475825/GCST90479998/GCST90131901/GCST90131903,0.882188260555267/0.882188260555267/0.857156753540039/0.855202496051788/0.84302282333374/0.822192311286926/0.803231060504913,0.8032311,0.8221923,NA,NA,0.8552025,0.8571568,NA,0.8821883,0.8821883,NA,NA,NA,NA,0.8430228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,TCF7L2,6934,GWAS,1,247,9
